time	slide_positivity
0	13
7	15
14	34
21	48
28	76
35	116
42	136
49	141
56	157
63	139
70	149
77	140
84	150
91	151
98	152
105	148
112	135
119	147
126	147
133	148
140	142
147	142
154	138
161	169
168	131
175	144
182	153
189	149
196	141
203	142
210	151
217	153
224	159
231	152
238	143
245	154
252	149
259	146
266	148
273	150
280	154
287	149
294	141
301	140
308	146
315	154
322	148
329	153
336	139
343	142
350	156
357	145
364	155
