# camdl 0.1.0+e6445b3 (2026-04-19)
beta	gamma	max_loglik	I0	R_init
4.0000	0.4000	-64.22	4.363144	244.567077
4.0000	0.4500	-66.60	4.104136	205.379388
4.0000	0.5000	-67.80	3.441148	178.350278
4.0000	0.5500	-73.10	2.311990	156.411493
4.0000	0.6000	-79.13	3.525928	187.909443
4.0000	0.6500	-95.41	6.359767	109.671730
4.0000	0.7000	-109.60	3.589091	110.998178
4.0000	0.7500	-126.74	2.642277	147.873793
4.0000	0.8000	-138.06	2.151435	95.907608
4.0000	0.8500	-157.46	4.519835	63.194372
4.4000	0.3000	-73.50	3.589335	282.099378
4.4000	0.3500	-69.15	5.353575	323.337712
4.4000	0.4000	-67.62	4.586849	225.429429
4.4000	0.4500	-69.44	4.784175	229.031407
4.4000	0.5000	-76.44	4.570978	167.591164
4.4000	0.5500	-80.43	3.004476	179.046867
4.4000	0.6000	-89.05	5.345993	195.990987
4.4000	0.6500	-103.92	4.327244	117.799160
4.4000	0.7000	-115.05	3.697645	99.225978
4.4000	0.7500	-138.77	2.971187	131.304365
4.4000	0.8000	-159.89	4.679076	122.551188
4.4000	0.8500	-164.97	2.748824	88.658782
4.8000	0.3000	-72.95	3.870586	300.765741
4.8000	0.3500	-66.08	3.335287	304.149449
4.8000	0.4000	-74.76	5.609369	228.845580
4.8000	0.4500	-73.61	3.399342	197.550765
4.8000	0.5000	-77.22	3.476364	194.020550
4.8000	0.5500	-87.65	5.102788	206.950252
4.8000	0.6000	-94.71	4.107823	192.929094
4.8000	0.6500	-108.48	3.602167	165.410991
4.8000	0.7000	-134.00	1.842123	166.064198
4.8000	0.7500	-144.16	2.432183	89.906349
4.8000	0.8000	-188.45	3.806849	106.259528
4.8000	0.8500	-196.66	1.951513	98.312092
