obs_model	beta	gamma	k	ll	n_params	aic	bic
Poisson	1.9058652207	0.6559714166	NaN	-61.13918510465359	2	126.27837020930718	129.5564848685377
NegBin	2.0217146372	0.6541456632	181.8165497007	-58.08578245165628	3	122.17156490331256	124.08873689215834
