transition_name	total_firings	mean_propensity	max_propensity	first_firing	last_firing
infection	138	16.408309	35.227680	0.082559	11.316350
recovery	75	9.122667	19.800000	1.201904	13.507765
recovery_q	63	7.382222	11.440000	4.195259	13.890696
